ABCA6|23460,1.4343023,0.29917204,1.4747931,2.1429427,1.5938587,0.5911433,1.1385506,0.02080746,1.101909,1.6217849
ABCA8|10351,0.41708982,0.19439757,2.135062,2.7213733,2.5441113,0.5298886,1.1436726,0.05349496,0.28305015,2.5765672
ABCA9|10350,0.7984688,0.84982526,1.1186825,2.0176623,1.6710763,0.8561833,1.0300311,0.013822138,1.4895086,1.8183889
ABCB11|8647,0.045117524,0.98191017,1.3583627,2.160058,0.7325356,0.78545606,0.8877761,1.4034764,1.2841296,1.2111214
ABCB1|5243,0.36877578,1.1542821,0.17072576,0.2223788,2.0299237,0.626068,1.6730443,0.71158475,1.0128562,5.825998
ABCB4|5244,0.75474167,0.6609057,1.4772763,0.69348747,1.7066427,0.9028094,2.0020711,0.15868774,0.9636283,1.8830105
ABCB5|340273,0.72954035,0.18377297,1.6057682,2.2497764,1.9660603,0.44158468,1.2794954,0.020085476,1.3970348,1.421455
ABCC13|150000,1.0037613,0.20674515,0.28862807,1.0320923,1.3976802,1.5601721,0.98756295,2.6537294,1.3412915,2.1375418
ABCC2|1244,2.25576,0.9414805,0.41789055,0.47258446,2.0741396,0.4198039,1.2878044,1.3812218,1.0605502,1.7879682
ABCC4|10257,1.8763734,0.22835831,0.36884457,0.7614032,1.778661,0.70022285,2.7297313,1.4085257,0.662376,1.5792772
ABCC6P1|653190,1.1674764,0.39577314,0.2711081,1.0567882,1.4489118,1.3816098,0.83279896,1.7015934,0.8960064,1.7928618
ABCC6P2|730013,1.3781615,0.53449506,0.5637217,0.55947685,1.331248,1.2243923,0.92827153,1.409271,0.8743896,2.080069
ABCC6|368,1.3853731,0.497535,0.3724556,0.8065107,1.2678344,0.978524,0.7990441,1.3622206,1.0216317,1.7554803
ABCC8|6833,0.06659016,0.7742756,2.294625,2.316356,0.43162107,3.3574867,1.9904364,0.41327053,0.07439738,1.339124
ABCC9|10060,1.1462114,0.4267912,1.8564227,2.2851508,2.1658833,0.117568605,1.4416802,0.07606476,0.844313,1.793587
ABCD2|225,0.6979706,1.3655859,2.7501104,2.702171,0.58034265,0.14258303,0.051584914,0.14064689,0.94324064,2.469485
ABCG2|9429,0.11897281,0.91845125,2.190047,2.0152292,1.6537879,0.44518957,1.1565481,1.439155,0.5917583,1.1044923
ABCG5|64240,0.01734964,0.85096544,2.0711243,1.7115927,0.6729341,1.8931992,0.49426308,1.1295534,1.7136751,1.3221769
ABCG8|64241,0.0135069145,0.5558605,1.397162,2.046023,1.5039907,1.332258,1.0374367,1.6472795,2.0005536,1.5836312
ABHD12B|145447,0.93699795,0.023436723,0.9452121,1.6677564,1.1206982,0.26743206,1.4362079,1.3434095,1.1992427,1.4208649
ABHD1|84696,3.2227952,0.41201547,0.68224823,0.7627302,0.44107497,1.0437139,2.0044181,0.652104,0.07712362,2.3922527
ABI3BP|25890,0.9783484,0.16083746,1.8263633,1.6196561,1.4335958,0.84878564,1.0785049,0.027201442,0.6703941,1.5655247
ABLIM2|84448,1.9703392,0.57796407,0.43566653,0.90435,2.1768878,1.1037639,0.8151059,1.2274729,0.8442026,1.7704674
ABLIM3|22885,0.600151,1.0581653,1.7890669,2.2456021,1.7261766,0.3930158,1.3006299,0.06389638,1.2807696,0.9245881
ABO|28,1.0866649,0.50405824,1.2592508,1.7563987,1.1379038,1.7004056,1.898575,1.448561,0.061787743,0.7532811
ABP1|26,0.649039,0.61568576,0.52320284,1.5180944,0.82257086,1.9375435,1.0641328,1.6508634,0.4937013,2.029131
ACACB|32,0.97617716,0.0783872,0.809591,1.4625287,2.0625606,1.7345923,1.4011863,0.89344937,0.99735034,2.1391566
ACADL|33,1.0011309,0.014459591,2.0478022,1.5750258,1.2665303,1.3273598,1.2947685,0.035806518,1.2453966,1.2263916
ACAN|176,0.86589146,0.3502679,1.6939889,3.4127316,2.1257718,0.31077614,0.9294086,0.24551973,0.4763375,1.915782
