ABCB5|340273,0.066374496,0.56392956,0.48616976,0.8299064,0.5669399,1.1258674,1.8002052,1.7683736,2.7287102,0.84994376
ABCC13|150000,0.06850457,4.118619,1.8216975,1.435171,1.801627,1.8516289,1.108381,0.13445252,2.8554432,0.024560029
ABCC1|4363,2.1319814,0.74872893,2.1450448,0.8632365,1.5542362,0.2876635,1.3751446,0.30995277,0.7715333,1.2447097
ABCC2|1244,2.1851056,0.10614077,2.4348261,1.3186691,1.8803205,0.24542579,0.94062394,1.776824,0.5215071,0.04982729
ABCC3|8714,0.5634533,0.7240592,4.050978,1.7791966,1.1287535,0.16875239,0.19977292,1.2159351,0.511819,1.6550212
ABCC5|10057,1.7124202,1.0801461,1.742858,0.90129095,1.4880077,0.54238987,0.9352543,0.7028224,0.39893717,1.1844635
ABCC6P1|653190,0.017679619,1.7137822,2.77236,1.5067252,0.14600155,2.2460544,1.2546412,1.9725015,0.9189449,0.29640207
ABCC6P2|730013,0.05282781,1.5267977,1.4737042,1.8296859,0.7006062,2.3861058,1.5019466,2.4293864,1.4375983,0.044976156
ABCC6|368,0.052286584,0.9879758,2.95478,1.6773535,0.30005667,2.2328568,1.1784177,1.6860328,0.7247042,0.17904934
ABCC8|6833,1.9001216,2.4154766,0.46530116,2.1060002,0.056081872,1.7816503,1.497317,0.61532044,0.4930578,0.03562203
ABCC9|10060,0.040377967,0.6527644,2.5673225,1.2943501,1.4231251,1.2125638,1.155478,1.0372207,1.9184033,0.9632402
ABCD2|225,0.020993793,0.6313332,2.6770108,1.9879233,1.5836595,2.5881846,1.7380431,0.8695805,0.8323425,1.4802082
ABCG2|9429,0.7931198,2.6885266,3.1931784,1.8414907,1.3304827,1.8627043,0.22013876,0.086459816,1.2883791,0.65814483
ABHD12B|145447,1.175632,1.9282833,1.2267207,0.97172415,0.98870414,1.1760644,0.026935086,0.52661735,1.3298423,1.8206774
ABHD1|84696,1.8159797,0.13852726,0.63834655,1.0853423,1.585275,1.0176,1.1651126,2.036614,0.19863664,1.5682687
ABI3BP|25890,0.030035425,0.9742984,2.6561434,1.7143983,1.119057,2.340716,0.9508193,0.8509056,1.1788223,0.8385325
ABLIM2|84448,0.041429084,2.1268578,1.0762347,2.2423344,0.74024546,1.2657031,0.5110638,1.6804088,1.7828581,3.7716966
ABLIM3|22885,0.1163535,1.5245471,3.5521324,1.0387461,1.4466872,1.6538166,0.06303929,1.6761825,1.6968968,1.1774125
ABO|28,1.8232274,4.029217,2.490099,1.6474975,0.7613372,0.7044484,0.3931017,0.16970995,0.0678228,2.5485914
ABP1|26,0.023465384,0.84795016,2.2850633,1.8030397,2.0134194,2.4528656,0.57688147,1.5335441,0.8778484,1.3362143
ACADL|33,0.2331292,1.8926864,2.3838696,1.3076528,0.68723315,1.9372439,0.7733568,1.1530198,0.46951103,0.5768701
ACAN|176,1.4877605,0.18521205,2.9240952,0.8758153,0.5334242,1.274828,1.3184359,0.079946876,2.1002562,2.3021157
ACAP1|9744,0.06695167,0.64946944,2.9785552,1.8341675,1.3826327,2.4073777,1.3951837,1.2098894,0.35453352,1.4492321
ACBD7|414149,1.1910281,0.1306111,0.0996555,1.7593979,1.2261888,1.8819048,1.1756867,1.6117481,1.0809953,0.76379496
ACCN2|41,1.951744,0.70917094,1.8610598,0.65423226,1.5680636,0.09165646,0.24027364,1.1807861,1.3258739,1.0775505
ACCN3|9311,1.8928093,1.3148129,2.084622,2.0202336,0.22474597,0.86427116,0.8586265,1.6970277,0.03651507,0.9513168
ACCN4|55515,0.97209835,1.158832,1.6088747,1.4620186,0.844853,0.81691223,0.9431346,1.4136837,0.06069264,1.3709816
ACE2|59272,2.310312,2.569691,3.8146646,0.12419413,2.3883178,0.3776363,0.9493991,0.13506632,0.24251805,0.65996075
