ABHD1|84696,0.02738972,0.025029657,0.032676086,0.011794064,0.002925875,0.017033512,0.023072768,0.04725628,0.014934729,0.023632646
ABI3BP|25890,0.056548607,0.07829075,0.038663957,0.020664856,0.017481849,0.09550058,0.036109503,0.020576268,0.09084046,0.06556318
ABLIM2|84448,0.045733385,0.052033182,0.042357273,0.0460382,0.031645518,0.04041673,0.034392223,0.016964149,0.04983274,0.06272289
ABLIM3|22885,0.06284612,0.07983226,0.026724404,0.045595437,0.020383852,0.04980454,0.036509015,0.01647036,0.07486788,0.07284977
ABO|28,0.03661802,0.038375452,0.02769046,0.05584816,0.015693374,0.042032156,0.037643146,0.04708923,0.031324003,0.05489283
ABP1|26,0.048609156,0.04648165,0.011104511,0.023725683,0.026116934,0.05365759,0.03963148,0.0016192492,0.032699544,0.05216693
ACADL|33,0.044456642,0.0725574,0.010658273,0.019533485,0.009688388,0.038601205,0.01957432,0.023553893,0.033349156,0.034103036
ACAN|176,0.030359374,0.024156317,0.02485886,0.034227982,0.015263695,0.03255334,0.044424146,0.041817088,0.07871762,0.05514993
ACAP1|9744,0.06909268,0.057234954,0.047245193,0.025380138,0.017609838,0.093811676,0.036745034,0.022264939,0.063486256,0.067624755
ACBD7|414149,0.029884318,0.051375177,0.046088636,0.010822358,0.019975085,0.04192621,0.03734767,0.061927732,0.028113581,0.035751972
ACCN2|41,0.045306865,0.050416008,0.06344348,0.045758136,0.0070647146,0.0435542,0.038582202,0.077407636,0.055752326,0.065968715
ACCN3|9311,0.045720216,0.02722482,0.024338813,0.0130711235,0.00673554,0.008328989,0.014652154,0.055823002,0.019984284,0.032462545
ACCN4|55515,0.027508473,0.014134973,0.0137047535,0.011065735,0.0007882956,0.009336592,0.0071293367,0.027058862,0.00475498,0.02110751
ACE2|59272,0.03527354,0.046312485,0.03243614,0.054688223,5.8038243e-08,0.05224649,0.008228636,0.053310037,0.029197996,0.0652912
ACHE|43,0.050531406,0.053154033,0.038783,0.0035283663,0.013414356,0.05222812,0.02364905,0.042324927,0.04131355,0.04773946
ACOX2|8309,0.046923146,0.06951772,0.01300646,0.015583603,0.017027702,0.0405693,0.019862419,0.0061576813,0.061844904,0.048998542
ACOXL|55289,0.02630972,0.04929443,0.0062923254,9.168209e-09,0.0155032445,0.055003114,0.005312967,0.005096579,0.036441304,0.020271793
ACPP|55,0.046362665,0.06390868,0.0511122,0.062256977,0.019052492,0.04950137,0.037909128,0.06911078,0.049543824,0.07062929
ACSL5|51703,0.07445913,0.08330049,0.04140542,0.028406456,0.024093902,0.084411696,0.05160126,0.028474275,0.08173139,0.07584274
ACSL6|23305,0.022601793,0.021374905,0.0146837095,1.1838974e-07,0.010065896,0.056963697,0.02044607,0.020512853,0.02553212,0.01844638
ACSM1|116285,0.01931675,0.024839777,0.013893461,0.0028581184,0.010207566,0.02717567,0.01668292,0.009236543,0.027237652,0.007660761
ACSM3|6296,0.044960253,0.06667543,0.032990716,0.013448866,0.029300839,0.059472587,0.032375492,0.035620295,0.05566051,0.033614326
ACSM5|54988,0.01933839,0.02790298,2.4332964e-12,0.0005339376,0.010155425,0.04133857,0.011556819,0.0,0.036614787,0.016927615
ACSS3|79611,0.04149938,0.06759631,0.01710371,0.011333827,0.027392877,0.053144123,0.02911553,0.018555205,0.06898582,0.056881346
ACTA2|59,0.082289584,0.0906997,0.06590936,0.05017249,0.029278401,0.09360631,0.06275077,0.06793522,0.1176182,0.124124795
