ABCA4|24,0.034255892,2.5124035e-28,0.011738738,0.009503671,0.012238661,0.0075687696,0.0018836698,0.030619027,0.008706345,0.009161416
ABCA6|23460,0.008348027,0.007827471,0.021442618,0.023785625,0.03365761,8.306664e-18,0.0010150631,6.945e-26,0.057258476,0.02407298
ABCA8|10351,0.0017070087,0.011336121,0.026985588,0.008027945,0.050286517,3.598985e-18,0.0063868864,3.0785956e-18,0.044370666,0.024757992
ABCA9|10350,0.016223392,0.0037531655,0.01486482,0.017765285,0.03462404,0.006994744,1.41426e-06,4.175804e-13,0.048213504,0.027646117
ABCB11|8647,0.014808151,0.012683907,0.00082398055,1.46793e-23,0.008208494,5.014581e-12,0.0,0.0010730656,0.023664506,0.010759195
ABCB1|5243,0.027497457,0.070591256,0.047190018,0.048250016,0.053050824,0.0492499,0.04014634,0.074021496,0.050532147,0.075600855
ABCB4|5244,0.022540329,0.019528905,0.022938086,0.022419253,0.03132773,0.028227568,0.019509893,0.022111235,0.037786137,0.044182044
ABCB5|340273,1.6376544e-12,0.0,0.011131859,3.2000391e-06,0.016956639,0.0,3.3436596e-09,0.0,0.019622492,0.008340609
ABCC13|150000,0.011635447,0.041270502,0.005407381,4.2334525e-10,0.02125885,0.0037696417,0.00889806,0.052841026,0.029396757,0.0032968859
ABCC2|1244,7.877195e-33,0.066205926,0.024076581,0.040238336,0.019145787,0.0118997,0.049282037,0.0391812,0.0228543,0.048337366
ABCC4|10257,0.040686928,0.06996726,0.04301069,0.06937103,0.04325174,0.03900438,0.05095596,0.06414514,0.051558793,0.06593916
ABCC6P1|653190,0.005952136,0.060102772,0.023140965,0.022498349,0.014187469,0.020974448,0.023955561,0.047849134,0.028582446,0.028260069
ABCC6P2|730013,0.007173541,0.048988845,0.032525282,0.028674733,0.020141102,0.026834643,0.03065473,0.06327756,0.02957689,0.039834294
ABCC6|368,0.020299805,0.07284747,0.035300557,0.04506849,0.027633827,0.03550218,0.038513407,0.066724405,0.046064127,0.04061086
ABCC8|6833,0.05303604,7.928768e-31,0.009547092,0.002004084,0.009097017,0.0016064725,0.0023451778,0.0067947926,0.0041918247,0.014362006
ABCC9|10060,0.017926823,0.028091958,0.035571165,0.03357031,0.046245947,0.016080558,0.025965663,0.008895982,0.060014445,0.04565201
ABCD2|225,0.016921772,0.00970483,0.0093886815,0.01528189,0.026863256,0.0012582985,0.002645547,0.0069579766,0.046647865,0.023028893
ABCG2|9429,0.022431247,0.040792156,0.022112984,0.01089827,0.03778902,0.013995956,0.021005025,0.022257512,0.054666135,0.041332133
ABCG5|64240,0.027010636,0.02454832,0.019050827,0.013799988,0.007365896,0.018766275,8.177528e-23,0.015203225,0.020956293,0.023140907
ABCG8|64241,0.026737602,0.022862857,0.019384565,0.009001935,0.004061607,0.0066549806,0.0,0.004482911,0.014825156,0.025011165
ABHD12B|145447,8.4554716e-12,0.040516943,0.015395412,0.023273267,0.017567879,1.6084515e-24,0.025269827,0.030516908,0.027357446,1.7333164e-22
ABHD1|84696,0.0074815336,0.014530058,0.011800413,0.030856896,0.008024619,0.0021921555,0.020234792,0.030042157,0.007571023,0.016568793
ABI3BP|25890,0.04090594,0.0071341423,0.03913488,0.0342112,0.048492625,0.013560979,0.027312674,0.033321224,0.06682162,0.047955442
ABLIM2|84448,0.019281961,0.06992657,0.044300187,0.0538196,0.042228673,0.05730776,0.047182396,0.08054902,0.06305009,0.03736786
ABLIM3|22885,0.03376276,0.04447647,0.033918835,0.039601658,0.043942213,0.034426037,0.030654619,0.0059432467,0.08522763,0.050290294
ABO|28,0.03717793,0.06605616,0.038004965,0.033403143,0.03982575,0.045831457,0.04701694,0.078234054,0.060611997,0.022871852
ABP1|26,0.06889712,0.09387757,0.058278147,0.059170075,0.05853216,0.06972427,0.05583998,0.103102304,0.091092035,0.05827967
ACACB|32,0.03868037,0.06379788,0.039576,0.05077649,0.049820382,0.036679678,0.036565755,0.060190603,0.06348139,0.05788961
ACADL|33,0.0038149308,0.0,0.0,0.0,0.00770193,0.0,5.4751316e-17,0.0,0.020131122,0.01129974
ACAN|176,0.037194144,0.06405387,0.04539956,0.04513475,0.042456847,0.036564175,0.034167748,0.047302973,0.06568559,0.023286544
ACAP1|9744,0.046998248,0.047335282,0.02862723,0.03820923,0.038519178,0.014948934,0.0134556005,0.030782342,0.08354463,0.030044744
ACBD7|414149,0.027236292,0.04012963,0.027768794,0.04180808,0.023204358,0.029993083,0.037381187,0.0636569,0.041961517,0.03725157
ACCN1|40,0.0105145015,0.027917322,0.031311523,0.011881463,0.00917261,4.127523e-18,0.013482532,0.032558467,0.0069638724,2.0360558e-06
ACCN3|9311,0.029309968,0.014914288,0.005298756,0.014241058,0.019335799,0.016480306,0.00562674,0.016820865,0.032698356,0.017090471
ACCN4|55515,0.015727816,0.001901185,0.008296685,0.0014762001,0.0046304846,0.015807511,0.010489045,6.1211524e-24,0.004222508,0.014098192
ACE2|59272,0.006159112,0.105743,0.052885108,0.04852746,0.035344485,0.03104025,0.059441686,0.083419986,0.04990082,0.056310758
